year,title,title_normalized,ranking_women,ranking_men,gender_score
1964,mary poppins,marypoppins,234,806,-1.1462925851703405
1959,anatomy of a murder,anatomyofamurder,864,515,0.6993987975951905
1999,being john malkovich,beingjohnmalkovich,392,383,0.018036072144288595
2015,the big short,thebigshort,515,299,0.43286573146292573
2008,the wrestler,thewrestler,621,289,0.6653306613226452
1954,la strada,lastrada,748,623,0.25050100200400816
1999,all about my mother,allaboutmymother,405,712,-0.6152304609218436
2007,3:10 to yuma,310toyuma,511,456,0.11022044088176342
1975,barry lyndon,barrylyndon,991,281,1.4228456913827654
2009,fantastic mr. fox,fantasticmrfox,423,445,-0.044088176352705455
1922,nosferatu,nosferatu,716,468,0.49699398797595185
2017,wonder,wonder,577,862,-0.5711422845691383
2006,the last king of scotland,thelastkingofscotland,455,535,-0.16032064128256507
1980,the blues brothers,thebluesbrothers,687,372,0.6312625250501003
2012,skyfall,skyfall,295,401,-0.2124248496993988
1997,as good as it gets,asgoodasitgets,367,396,-0.05811623246492992
1955,diabolique,diabolique,910,534,0.753507014028056
2016,kubo and the two strings,kuboandthetwostrings,600,616,-0.03206412825651306
1972,solaris,solaris,996,429,1.1362725450901805
2013,before midnight,beforemidnight,453,449,0.008016032064128265
1989,kiki’s delivery service,kikisdeliveryservice,357,674,-0.6352705410821642
1994,ed wood,edwood,545,384,0.3226452905811623
1960,la dolce vita,ladolcevita,793,512,0.56312625250501
1993,the fugitive,thefugitive,569,392,0.35470941883767537
1967,bonnie and clyde,bonnieandclyde,648,501,0.2945891783567136
1996,primal fear,primalfear,426,578,-0.3046092184368737
2002,harry potter and the chamber of secrets,harrypotterandthechamberofsecrets,142,831,-1.3807615230460923
1999,the insider,theinsider,863,378,0.9719438877755511
2004,3-iron,3iron,651,719,-0.1362725450901805
1965,doctor zhivago,doctorzhivago,714,577,0.2745490981963927
1927,sunrise,sunrise,995,633,0.7254509018036073
2009,zombieland,zombieland,329,414,-0.1703406813627255
2001,lagaan: once upon a time in india,lagaanonceuponatimeinindia,1190,293,1.7975951903807612
1993,tombstone,tombstone,794,526,0.5370741482965931
2008,departures,departures,731,613,0.23647294589178358
2009,(500) days of summer,500daysofsummer,310,345,-0.07014028056112231
1969,midnight cowboy,midnightcowboy,818,502,0.6332665330661322
1961,breakfast at tiffany’s,breakfastattiffanys,210,802,-1.1863727454909818
2007,harry potter and the order of the phoenix,harrypotterandtheorderofthephoenix,147,837,-1.382765531062124
2004,the butterfly effect,thebutterflyeffect,303,428,-0.25050100200400793
2003,21 grams,21grams,410,500,-0.18036072144288573
2016,doctor strange,doctorstrange,287,556,-0.5390781563126251
2009,harry potter and the half-blood prince,harrypotterandthehalfbloodprince,160,846,-1.374749498997996
1953,stalag 17,stalag17,1059,642,0.8356713426853708
1962,what ever happened to baby jane?,whateverhappenedtobabyjane,585,793,-0.4168336673346693
2007,once,once,463,487,-0.048096192384769476
2013,mandariinid,mandariinid,666,865,-0.3987975951903806
